rank,model,elo,wins,losses,ties,win_rate,correctness,faithfulness,grounding,relevance,completeness,overall,avg_latency_ms,total_tokens
1,anthropic-claude-opus-4.5,1727.70,196,27,47,0.7259,4.97,4.97,4.97,4.97,4.97,4.97,5992,60471
2,openai-gpt-5.1,1661.04,133,56,81,0.4926,5.0,5.0,5.0,5.0,4.93,4.99,9111,57990
3,openai-gpt-5.2,1582.46,74,139,57,0.2741,5.0,5.0,5.0,4.97,4.87,4.97,2652,50807
4,x-ai-grok-4-fast,1561.90,154,65,51,0.5704,4.9,4.9,4.9,5.0,4.83,4.91,3894,64681
5,z-ai-glm-4.6,1531.05,107,109,54,0.3963,4.8,4.77,4.77,4.83,4.7,4.77,34694,93458
6,google-gemini-3-pro-preview,1492.37,118,88,64,0.4370,4.8,4.8,4.8,5.0,4.87,4.85,13990,87013
7,google-gemini-2.5-pro,1479.87,117,88,65,0.4333,4.9,4.93,4.93,5.0,4.9,4.93,12449,81459
8,qwen-qwen3-30b-a3b-thinking-2507,1387.37,87,139,44,0.3222,4.9,4.9,4.9,5.0,4.8,4.9,12522,73077
9,openai-gpt-oss-120b,1339.77,38,181,51,0.1407,4.93,4.9,4.9,4.97,4.87,4.91,5616,55593
10,deepseek-deepseek-r1,1236.45,49,181,40,0.1815,4.73,4.77,4.77,4.87,4.37,4.7,16654,61333
