rank,model,elo,wins,losses,ties,win_rate,correctness,faithfulness,grounding,relevance,completeness,overall,avg_latency_ms,total_tokens
1,openai-gpt-5.1,1882.91,234,27,9,0.8667,5.0,5.0,5.0,5.0,4.73,4.95,29008,193724
2,x-ai-grok-4-fast,1835.92,201,46,23,0.7444,5.0,5.0,5.0,5.0,4.93,4.99,9142,173717
3,openai-gpt-5.2,1576.60,171,70,29,0.6333,5.0,5.0,5.0,5.0,4.97,4.99,8702,160009
4,google-gemini-3-pro-preview,1552.72,130,115,25,0.4815,4.97,4.97,4.97,5.0,4.8,4.94,25137,207228
5,anthropic-claude-opus-4.5,1547.87,110,147,13,0.4074,4.93,4.93,4.93,4.93,4.8,4.91,11489,171313
6,google-gemini-2.5-pro,1462.61,112,131,27,0.4148,5.0,5.0,5.0,5.0,5.0,5.0,17834,192924
7,z-ai-glm-4.6,1415.95,126,119,25,0.4667,4.87,4.87,4.83,4.9,4.57,4.81,36774,200975
8,deepseek-deepseek-r1,1278.43,47,200,23,0.1741,4.93,4.93,4.9,4.97,4.6,4.87,23334,169408
9,openai-gpt-oss-120b,1267.20,72,184,14,0.2667,4.8,4.8,4.8,4.83,4.73,4.79,19128,162839
10,qwen-qwen3-30b-a3b-thinking-2507,1179.78,48,212,10,0.1778,4.9,4.87,4.87,4.93,4.77,4.87,16030,186829
